id,playtime_forever,is_free,price,tags,total_positive_reviews,total_negative_reviews,"('genres', 'Action')","('genres', 'Adventure')","('genres', 'Animation & Modeling')","('genres', 'Audio Production')","('genres', 'Casual')","('genres', 'Design & Illustration')","('genres', 'Early Access')","('genres', 'Free to Play')","('genres', 'Gore')","('genres', 'Indie')","('genres', 'Massively Multiplayer')","('genres', 'Nudity')","('genres', 'RPG')","('genres', 'Racing')","('genres', 'Sexual Content')","('genres', 'Simulation')","('genres', 'Sports')","('genres', 'Strategy')","('genres', 'Utilities')","('genres', 'Violent')","('categories', 'Captions available')","('categories', 'Co-op')","('categories', 'Commentary available')","('categories', 'Cross-Platform Multiplayer')","('categories', 'Full controller support')","('categories', 'In-App Purchases')","('categories', 'Includes Source SDK')","('categories', 'Includes level editor')","('categories', 'Local Co-op')","('categories', 'Local Multi-Player')","('categories', 'MMO')","('categories', 'Multi-player')","('categories', 'Online Co-op')","('categories', 'Online Multi-Player')","('categories', 'Partial Controller Support')","('categories', 'Remote Play on Phone')","('categories', 'Remote Play on TV')","('categories', 'Remote Play on Tablet')","('categories', 'Shared/Split Screen')","('categories', 'Single-player')","('categories', 'Stats')","('categories', 'Steam Achievements')","('categories', 'Steam Cloud')","('categories', 'Steam Leaderboards')","('categories', 'Steam Trading Cards')","('categories', 'Steam Workshop')","('categories', 'SteamVR Collectibles')","('categories', 'VR Support')","('categories', 'Valve Anti-Cheat enabled')",day_btn_purchase_release,day_btn_2020_purchase
0,0.0,0,0.12333333333333334,0.0,0.00372,0.00096,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.333,0.274
1,0.016666666666666666,1,0.0,0.0,0.00023,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0944,0.5655
2,0.0,0,0.16666666666666666,0.5,0.03018,0.00663,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.3232,0.274
3,1.5333333333333334,0,0.33,0.25,0.63078,0.01746,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0.4868,0.5645
4,22.33333333333333,0,0.16,0.5,0.08841,0.00523,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0.4086,0.334
6,2.6166666666666667,0,0.12,0.25,0.39776,0.01035,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.3884,0.342
7,0.15,1,0.0,0.0,0.00033,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1282,0.351
8,0.016666666666666666,0,0.13333333333333333,0.0,0.01875,0.00039,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.3464,0.202
9,0.016666666666666666,0,0.29333333333333333,0.0,0.00047,0.00011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0.0132,0.37
10,0.0,0,0.22666666666666666,1.0,0.05893,0.007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.5372,0.3505
11,0.0,0,0.08333333333333333,0.25,0.00148,0.00035,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2636,0.461
12,0.0,1,0.0,0.0,0.0011,0.0026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0442,0.0825
13,20.566666666666666,0,0.11,0.5,0.09659,0.01058,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0.0078,0.5895
14,0.6333333333333333,0,0.19,0.5,0.05871,0.00551,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0.1358,0.2835
15,0.016666666666666666,1,0.0,0.5,0.00167,0.0003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.5258,0.4185
16,3.3,0,0.22666666666666666,0.5,0.21566,0.01289,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0.3882,0.359
17,0.0,0,0.37333333333333335,0.25,0.43103,0.04042,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0.2988,0.108
18,0.0,0,0.37333333333333335,0.5,0.30934,0.07777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0.13,0.341
19,0.0,0,0.12,0.0,0.00074,0.00115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0.269,0.188
20,0.16666666666666666,0,0.22666666666666666,0.0,0.01122,0.00248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.5244,0.3505
21,1.6166666666666667,0,0.29333333333333333,0.5,0.08406,0.0178,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0.1604,0.5645
22,0.0,0,0.29333333333333333,1.0,0.20437,0.01847,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.0564,0.2975
23,0.05,1,0.0,0.0,2e-05,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1068,0.3865
24,0.0,0,0.43,0.25,0.06812,0.01458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0.1368,0.137
25,0.0,0,0.33,1.0,0.09566,0.00517,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6046,0.301
26,0.21666666666666667,0,0.05,0.5,0.05001,0.00597,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.097,0.3765
27,0.0,0,0.16,0.25,0.03457,0.00372,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.3226,0.094
28,0.0,0,0.16,0.0,0.00329,0.00073,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.6644,0.188
29,4.216666666666667,0,0.22666666666666666,0.25,0.36322,0.01542,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0.0006,0.4105
30,4.266666666666667,0,0.22666666666666666,1.0,0.0127,0.00073,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.0486,0.376
31,4.333333333333333,0,0.23333333333333334,0.25,0.0464,0.00212,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,-0.0962,0.327
32,2.1,0,0.23333333333333334,0.0,0.01107,0.00064,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1048,0.336
33,0.9166666666666666,0,0.14333333333333334,0.0,0.01887,0.00179,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,-0.0398,0.274
34,0.0,0,0.13333333333333333,0.5,0.01663,0.00153,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.0,0.2175
35,2.85,0,0.31666666666666665,1.0,0.17071,0.01218,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0.3446,0.51
36,56.66666666666666,0,0.43,0.25,0.18644,0.07748,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,-0.0302,0.377
37,0.0,0,0.3333333333333333,0.5,0.04328,0.01223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.1922,0.094
38,4.516666666666667,0,0.16,0.5,0.04109,0.00253,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.0206,0.382
39,3.083333333333333,0,0.16,0.25,0.36408,0.01063,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.1844,0.5675
40,0.0,0,0.22666666666666666,0.5,0.05163,0.00182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.1896,0.2025
41,1.7,0,0.23333333333333334,0.25,0.02268,0.00082,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.0166,0.094
42,11.516666666666667,0,0.3,1.0,0.24505,0.07766,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.0088,0.3215
43,6.5,0,0.16333333333333333,0.5,0.0476,0.00925,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.0236,0.5645
44,0.8833333333333333,0,0.16666666666666666,1.0,0.16607,0.01662,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.4892,0.215
45,0.4666666666666667,0,0.11666666666666667,0.0,0.00074,6e-05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0282,0.3255
46,0.0,0,0.8266666666666667,0.25,0.22742,0.05941,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1692,0.1415
47,0.0,0,0.36666666666666664,0.25,0.05396,0.00954,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.2486,0.3975
48,0.0,0,0.11333333333333333,1.0,0.01685,0.00566,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6748,0.342
49,0.4,1,0.0,0.0,0.00014,4e-05,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.119,0.388
50,0.31666666666666665,0,0.07,0.0,0.02848,0.00498,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0762,0.416
51,0.0,0,0.37333333333333335,0.5,0.07052,0.00718,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0.2188,0.4585
52,0.0,0,0.22666666666666666,0.25,0.16482,0.02102,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0.252,0.3125
53,1.9833333333333327,0,0.2,0.25,0.0485,0.00139,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.0,0.374
54,14.55,0,0.5333333333333333,1.0,0.39351,0.03113,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0.1196,0.412
55,0.2,0,0.3333333333333333,0.25,0.01949,0.00834,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0.221,0.409
56,3.9333333333333327,0,0.23,0.0,0.00543,0.00092,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7884,0.3975
57,0.0,0,0.16,0.25,0.02805,0.00169,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0.3268,0.3165
58,3.283333333333333,0,0.64,1.0,0.10311,0.01386,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0.2084,0.2025
59,0.0,0,0.33,0.5,0.04204,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.737,0.1625
60,0.36666666666666653,1,0.0,0.5,0.00116,1e-05,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1018,0.3865
61,0.8666666666666667,0,0.03666666666666667,0.0,0.00053,0.00033,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.1036,0.3295
62,0.0,0,0.37333333333333335,0.5,0.16682,0.0143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.2344,0.3705
63,0.0,1,0.0,0.5,0.00696,0.00129,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.1282,0.806
64,0.0,0,0.12,1.0,0.01895,0.00161,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.5396,0.342
65,0.0,1,0.0,0.25,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0975
66,0.0,0,0.16666666666666666,0.0,0.00388,0.00093,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0.3284,0.3975
67,0.5666666666666667,1,0.0,0.0,0.00031,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.1074,0.3865
68,1.6333333333333333,0,0.19333333333333333,0.5,0.20873,0.0145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0634,0.236
69,1.1,0,0.16,0.0,0.00927,0.00082,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0.1608,0.4585
70,0.0,0,0.08666666666666667,0.0,0.00827,0.00099,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0842,0.2795
71,0.4666666666666667,0,0.3,0.5,0.12603,0.0146,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0166,0.154
72,1.1,0,0.12,0.5,0.09347,0.00971,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.106,0.309
73,0.0,0,0.16,0.25,0.00223,0.00067,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.0466,0.3355
74,0.13333333333333333,0,0.12,0.25,0.32422,0.0169,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0.3242,0.4975
75,0.0,0,0.12,0.0,0.00094,0.00055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.77,0.3505
77,3.066666666666667,0,0.08666666666666667,1.0,0.00608,0.00197,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.1638,0.274
78,0.0,0,0.26,1.0,0.0199,0.00412,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.1412,0.094
79,1.85,0,0.12,1.0,0.31291,0.01358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.4168,0.4415
80,0.0,0,0.33,0.0,0.02638,0.00424,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.1426,0.094
81,0.05,0,0.10666666666666667,0.25,0.0343,0.00136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.3872,0.1635
